"PSN Title","Title ID",Source,"Image URL"
HITMAN™,NPWR08864_00,trophy,
"Dragon's Dogma: Dark Arisen",NPWR12435_00,trophy,
"MAGICKA® 2",NPWR07834_00,trophy,
Nioh,NPWR10261_00,trophy,
"Ratchet & Clank™",NPWR07942_00,trophy,
"Super Exploding Zoo!",NPWR06215_00,trophy,
"The Sexy Brutale",NPWR12283_00,trophy,
"Don't Starve Together: Console Edition",NPWR09297_00,trophy,
"Shadow of the Colossus",NPWR13427_00,trophy,
"YAKUZA 3",NPWR17638_00,trophy,
"Rayman® Legends",NPWR05677_00,trophy,
"Horizon Chase Turbo",NPWR15015_00,trophy,
"SEGA Mega Drive & Genesis Classics",NPWR14092_00,trophy,
"Sonic Mania",NPWR12997_00,trophy,
"ASTRO BOT Rescue Mission",NPWR15453_00,trophy,
"Ys VIII -Lacrimosa of DANA-",NPWR13712_00,trophy,
"Full Throttle Remastered",NPWR12115_00,trophy,
"Tales of Berseria",NPWR10267_00,trophy,
"Skyrim VR",NPWR13650_00,trophy,
"Horizon Zero Dawn",NPWR11556_00,trophy,
Batman,NPWR11243_00,trophy,
"DRAGON QUEST XI: Echoes of an Elusive Age",NPWR15315_00,trophy,
"God of War",NPWR12518_00,trophy,
Undertale,NPWR13830_00,trophy,
"YAKUZA KIWAMI 2",NPWR14695_00,trophy,
"Marvel's Spider-Man",NPWR09167_00,trophy,
"Red Dead Redemption 2",NPWR09412_00,trophy,
"YAKUZA KIWAMI",NPWR12845_00,trophy,
"Ni no Kuni™ II: Revenant Kingdom",NPWR14858_00,trophy,
"Fallout 4",NPWR08997_00,trophy,
Bloodborne,NPWR05818_00,trophy,
SingStar™,NPWR05198_00,trophy,
"That's You!™",NPWR08593_00,trophy,
"Odin Sphere Leifthrasir",NPWR10696_00,trophy,
Overcooked,NPWR11263_00,trophy,
"Utawarerumono: Mask of Truth",NPWR13735_00,trophy,
"FINAL FANTASY Ⅻ THE ZODIAC AGE",NPWR11367_00,trophy,
"Utawarerumono: Mask of Deception",NPWR12778_00,trophy,
"Worms Battlegrounds",NPWR05434_00,trophy,
"Uncharted: The Lost Legacy™",NPWR13408_00,trophy,
"Sherlock Holmes: Crimes and Punishments",NPWR05881_00,trophy,
"Don't Starve: Console Edition",NPWR05721_00,trophy,
Severed,NPWR08086_00,trophy,
"FINAL FANTASY VII",NPWR08323_00,trophy,
"Injustice 2 Trophies",NPWR11338_00,trophy,
"Code: Realize ~Guardian of Rebirth~",NPWR09335_00,trophy,
"Hatoful Boyfriend",NPWR08495_00,trophy,
"YAKUZA 0",NPWR12042_00,trophy,
"FIFA 17",NPWR09685_00,trophy,
"Grand Kingdom",NPWR10810_00,trophy,
